Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
2,Positive,place came open little time great efficient werent stay lattes meals vegetarian loved side downer portion side friend side ambiance watching though smaller didnt ,place came open little time ,
573,Negative,dinner friend looking grab dinner service helpful friendly kale split duck sauce skate portions opinion back ,friend looking kale ,
22,Positive,eat night ordered champagne sangria yum special sauce skirt arriero skirt steak best cooked meat garnish refreshing loved cherry pulpo la gallega server little chewy honestly texture bit maybe definitely tapas bread water tapas joints dishes cheaper end recommend advantage ,eat night sangria yum special ,
36,Negative,want much gristle looks las go underwhelming assume fame lights rivalry whole italian go ,want much looks go underwhelming ,
27,Positive,nai one tucked whose doors show cozy cellar bar enjoying whim seat suggested mango disappoint liked sangria order full pitcher sweet wonderfully boozy fresh night moving dolling tapas bars charge glass food eats spending leg portions serve ton fresh bread twosome sharing noteworthy spanish done well paprika asparagus melted noteable pimientos small munch eats sample ,doors show cozy bar suggested ,
40,Negative,hour come famous almost pretty beefier worth price big fast ,hour famous almost worth price ,
9,Positive,tapas damn san ordered price tapas ordered de de de chistorra codorniz steak tapas service tuesday crowd come coqueta venue places food par even rate ,tapas damn san de service ,
967,Negative,go glorious ambushed staff things immediately months ordered still let husband convince worth husband incident happened table minutes interesting high top bunch crap dirty glasses believe back clear table aforementioned different water another french sandwich order asks irony hangover night left say back car especially seats inherited half beer glasses ,go staff things ordered still ,
16,Positive,sf though reservations glad place pretty away gambas flavorful bacalao heavy fried normally pimientos piquillo tasty one spicy nothing unexpected empanadillas one stuffed really flavorful sangria amazing sangria good types tried favorite still red bartender helpful suggestions come mood ,though reservations glad place pretty ,
15,Negative,came recommendation coworker raving time ordered say expectations knew deliver edible suppose one disgusting best tasted highlight adventurous tiny baguette slices tinier fingers bad anything thing potato dish remember pepper stuffed menu two pepper server instead cod stuffing creamy liked mashed potatoes cheesy tasting insisted whatever another bf tasted taste peppers waitress said favorite cheated good doubt back las ramblas ,recommendation ordered say expectations knew ,
20,Positive,delicious sangria great place brought free rest set overall quick bite restaurant ,delicious sangria great place set ,
346,Negative,nyc two nights last time birthday years reviews nights ago another used classy europe want leave smoke cigarettes carried away cigarettes idea bad food bad se bill decided hungarian goulash pieces creamy mushrooms definitely something simple come got bavarian sausage roasted spaetzel recommendation appetizers bavarian sausage warm preferred cart still tasted also mushy roasted potatoes dish god awful inn buffet tasted cream needed salt came regardless cool beers desserts finish apple everything soft actually quark lighter cheese linzertorte tasted little worst cream came tasted funny taste fresh server one ended beer wrong seemed bit rushed plates minute came still eating mind one tables friend old face one experience sabarsky court quality went tourist sabarsky ,two nights last reviews ago ,
151,Positive,crazy signs advertising stuff cherry rickeys exclamation something finally wish pancakes plain waffle best flavored battered fries go alone ,crazy stuff cherry wish pancakes ,
60,Negative,ordered paid look took threw away walked away head shame ,ordered paid look took away ,
8,Positive,one quietest food states nation say food visited many sub lettuce pepper salt taste buds corner also deli franchise really dine tasted watery staff interactive ,sub also really watery ,
72,Negative,school school mission determine saw rank downtown lights weird good restaurant star ,school lights good restaurant star ,
