Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
13,Positive,months old friend cute place going gambas ajillo pretty much garlic gonna meal remember tail hour ended pretty never really sangria neighborhood recommend folks looking area small group ,months old cute gambas pretty ,0
59,Negative,returned road philly visit know block recently tried preferred roll although either place must agree couple spots much caboose corner fairfield nj every roll better quality quantity much larger variety custom toppings come great cheesesteak complete ,returned road philly visit know ,0
9,Positive,best north hands dining room staff great food downright pan asian favorites szechuan green tuna spring rolls ask chinese menu order found best ever boil great supposed dim sunday awesome one night doctor henry cool ,best hands room staff great ,1
29,Negative,must drunk sangria taste fun yes tipsy yes pumped stuffed anchovies literally snacked spain basque country years ago excitement ended olives octopus came recommended waiter overcooked unimpressed dishes asparagus awesome take couple tapas places popping manhattan really come ,drunk pumped literally country years ,1
6,Positive,talking taiwanese home meals went work couple weeks member restaurant clean represented fine casual chinese takeout price reflect ordered although section mis categorized szichuan style check waitress menu pricey food delicious thought english encourage familiar taiwanese chinese first spot one handling tables time help manager lady reception every took bill definitely recommend anyone authentic cuisine come back ,meals went restaurant casual price ,0
66,Negative,definitely vs honest kind definitely low honest find street fav signs mean fries calling freedom fries kind super know order cash front place order soon will slap steaks counter goes quickly cheesesteaks sloppily together think really enough meat cheese bit however bit friendly bother freedom bland worth oh yeah counter cashier weird keeps ,honest find street mean fries ,0
3,Positive,odd fellows memorable name yolo live tasteless name toast someone owns east high qualityingredients superb cooking center city uncomplicated flare sandwiches pastries list sides match classic egg cheese voila done fussiness city gets hate pronounce items word phrase suffice fussiness breakfast fare method still slightly night stomach cheese meat mode midday meals win center ,name east superb cooking sides ,1
63,Negative,long wait philly cheesesteak maybe expectation honest worth wait hype thing got excited took food say even extremely nothing bad talking really enjoy philly cheesesteak good ,long wait philly cheesesteak maybe ,1
33,Positive,new favorite bar paprika serving steak well even small portion ham solid croquette good spain usually order expect perfect size amazing pitchers sangria happy hour prefer love ,new favorite bar well small ,1
113,Negative,came thursday town see hype cheesesteaks geno somewhere past geno extremely flashy neon definitely visual attraction cheesesteak composed amount cheese disappointing philly horrible fact businesses advertisement developed attitude less take want geno go coming lights sort ,came town see cheesesteaks geno ,0
